,Tweets,Level 1,Level 2
17778,": Sindh,Punjab, KpK, Balochistan , Europe, American, Africa is waqt jahan jahan meri tweet ja rahi hai. Ap sab ko Amir Liaqat",no emotion,Neutral
17777,: Sare News Channel Pakistan ki khabar dikha rahe hai ' Kahi news walo ki setting to nahi,no emotion,Neutral
17776,: Yaar tum aa kar khud hi dekh lo.. reporting kar lo.. live video ki facility bhi available,no emotion,Neutral
17775,: Karachi mein smart lockdown,no emotion,Neutral
17774,: Karachi ki smart phone market mein smart lockdown,no emotion,Neutral
17773,: Sir notification kab tak ay ga kuch to inform kary sir plz,no emotion,Neutral
17772,: sindh ke logon ke sath na insafi band ke jae .#SindhRejectsFakeDomiciles,no emotion,Neutral
17771,: Asif Ali Zardari Sahab jab President bane to unho ne apne ikhtiyarat Kam karke Pakistani awaam aur Parliament ko mazbo,no emotion,Neutral
17770,: #PMIKAgainstMafias Aaj tk kisey govt main aisa na daikha na suna. #ThanksIk umeed hai in sb sugar mafia k khilaf sakht,no emotion,Neutral
17769,: #TodayBalochistan A school teacher Shair dil Marri along with his brother Nadir Khan Marri abducted from new kahan Quet,no emotion,Neutral
17768,: #PhirTeraTimeAayega definitely mere Bhai Ka rap hai,no emotion,Neutral
17767,: Iss hisaab se toh ek coach mein sirf log baith payenge! Itne hi khaade bhi ho gaye toh log First station pe hi metro,no emotion,Neutral
17766,: Punjabi bhangra hai Bollywood dance nahe hai kuch pata bhi hai tumhain dance k bary main,no emotion,Neutral
17765,": A Hardcore Aapiya friend: ""Dilli se shuruwat nahi karni chahiye thi, Haryana ya Punjab se karni chahiye thi. Nationa",no emotion,Neutral
17764,: Watch Program Ho Kya Raha Hai with #ArifNizami &amp; Faisal Abbasi on News HD Plus (11-May-20) #9,no emotion,Neutral
17763,": Dad : Bajne wale hai, news channel laga. Me :",no emotion,Neutral
17762,": sir , just watched your today's vlog. Aapne kaha 'lockdown ke baad vlogs dekhna band mat kardena' Tension ma",no emotion,Neutral
17761,: #LockdownEnd? What's this yrrr? Koi sense h? Cases badh rhe hain... #Curfew lgane ki jagh #lockdownindia hi hata rhe ho? #,no emotion,Neutral
17760,: G haan bill muaaf karnay waalay koon hutay hain. Bill jalaanay walay tu hutay hain na,no emotion,Neutral
17759,": BLC: Bees Lakh Crore Dhayan rahe pehle crores milake hai ye BLC Aur ye LocalVocal, first you stop riding Merc, Audi &amp; BMW S",no emotion,Neutral
17758,: Wo jo Dhaari (beard) nahi rkhta tumhara Dil kya khaak rakhey ga..,no emotion,Neutral
17757,": Ok let's suppose Ahmadi's accept ""Aini Hesiyat"" of non Muslims then would you allow them to fulfil their religious obl",no emotion,Neutral
17756,: Dear Airtel din upar ho chuke hain Broadband ki Line ID mile hue...abhi tk kisi executi,no emotion,Neutral
17755,: #BiggBoss3's on life in the #lockdown: Mujhe kya pata tha bartan ghis ghis ke haath dukh jayenge #Sh,no emotion,Neutral
17754,: Laiken yahan toh paise nahin hain economy crash ho rahi hai lockdown ease karein elite aur opposition zabardasti kar rahe ha,no emotion,Neutral
17753,": #COVID9 iss tareh ki kai news padhi ki Trucks me baith kar baahar gaon apne ghar jaa rahe workers ko police ne pakda,",no emotion,Neutral
17752,: Exams ky baray mn final decision yahi hai ky tamam boards ky exams cancel hogy hn or plz ap log yh fazul ki fake news na p,no emotion,Neutral
17751,: Aap Twitter worrier ko puchh rahe ho. Hum bhi aap hi ki tarah hain. Newspaper parh ke kuch tweet kar dete hain.,no emotion,Neutral
17750,: Ye Gujarat ke CM ne kya bola aaj meeting main PM ke sath.. ye bhi nahi bata rahe News vale,no emotion,Neutral
17749,: Sana be like : hum kosish karenge after lockdown video shoot karne ki. Jassie: kosish nahi karenge idhar inko bolo ki,no emotion,Neutral
17748,": Due to this lockdown, I am convinced that I am in a long distance relationship with myself.. Kuch samajh hi nahi aa raha ky",no emotion,Neutral
17747,": Passbook printing k aashiq aane lage h ab daily , kahte h ab to lockdown Mei v dheel aa Gaye h aap v start Karo printing m",no emotion,Neutral
17746,": I want to say to what says to me : ""Zindagi ke mazzey le toh aap le rahe ho lockdown mein""",no emotion,Neutral
17745,: The chief ministers recommending lockdown are just being lazy because they have not prepared medical facilities. If this c,no emotion,Neutral
17744,: The blue goti needs +6+5 to kill my goti.. Ludo king : ye lo +6+5 #KehGayiSorryTomorrow #KehGayiSorry #lockdown #Ke,no emotion,Neutral
17743,": Lockdown ke beech jab sirf essential services waale aur kisaan petrol/diesel ka istemaal kar rahe hain, sarkaar ko daam kam",no emotion,Neutral
17742,: Dawateislami lockdown me k families ki daily madad kr rai hai. Rashan or paiso k zairye. Thalassemia ki patients k ly,no emotion,Neutral
17741,: #LockdownEnd hota h or sab gharon se bahar niklenge to kya khtra badhega nhi? jab roz cases aa rahe h..aise mein b,no emotion,Neutral
17740,: Lockdown ka scene kya hai post May ?,no emotion,Neutral
17739,: Lockdown : Main rang roop ka saudaayiiii,no emotion,Neutral
17738,: Hum almi insaani haqooq ki alam bardar or mohzab komon say appeal hai kay is lockdown ma ap sab ko gharon ma rah kay azaadi ka,no emotion,Neutral
17737,: Ye lockdown ke sequel to fast and furious ki franchise se bhi zyada jldi release ho rhe hai.,no emotion,Neutral
17736,: Gud mrng behno or betion kaisi kt rhi h raten lockdown m umm yahan sb sex chat ki bukhi h kisi ko life ki baten exper,no emotion,Neutral
17735,: Lockdown ka kya hua ?,no emotion,Neutral
17734,: Ho gaya bhai Extend Baaton see he lag raha hai #Lockdown4,no emotion,Neutral
17733,: sir jo Bharti ho gai h unka result nikalwaye please taki students ko sabar ho is lockdown mein ins,no emotion,Neutral
17732,: Ye bhi ek news hai baje ka official time de kar baje tickets kyu sale kari pucho irctc,no emotion,Neutral
17731,: Kya ye video sahi hai delhi me sach me yehi haal hai #ajtak #avpnews #ZeeNews,no emotion,Neutral
17730,: Ye to Jhel lega lekin FIR madamji ki ho gayi to unka kya hoga?,no emotion,Neutral
17729,: Thoda toh nervous about Lockdown ending also. Bhool hee gaya hu isse pehle Zindagi thi kya.,no emotion,Neutral
17728,: Ya to latest news hai,no emotion,Neutral
17727,Ready ho jay Lagta ha lockdown pir lagne wala hai,no emotion,Neutral
17726,Rasool Ki Shaan Mein Gustaki | Case Booked In Hyderabad | SACH NEWS | via,no emotion,Neutral
17725,Qalat Main Karobar Khul Gaya ll VSH NEWS Report From Qalat via,no emotion,Neutral
17724,Public lock down to khtm krdia lekin hmare lye monthes sy lekar employees ke gharo men lockdown hy salery ke bagher koi puchne wala nhi ham employe sy kse mushkil waqt guzar rha hy sabh MDA ke employes ka is mushkil waqt men. Plz khudara kch karen MDA ke employes ke ly,no emotion,Neutral
17723,Plzz jaldi se aap point par aawo lockdown khul rha hai ki nhi.,no emotion,Neutral
17722,"Piyush Mishra on lockdown life: I am not able to write, bahut depressing ho raha hai ab",no emotion,Neutral
17721,Panjgour Main Afrad Janbahak ll VSH NEWS Report From Panjgour via,no emotion,Neutral
17720,"opening of lockdowns, people on streets, a few handshakes might be reminiscent of earlier sense of comfort but theres a lot of wisdom in this urdu couplet yahi mod kaat ke manzil ka aks ubhrega, isi jagah magar imkaan-e-haadsa hai bohot.",no emotion,Neutral
17719,One day of relaxing the lockdown and this is what we did. Kya hoga iss Qoum ka?,no emotion,Neutral
17718,One day i went to their house..knocked their door..uncle ny drwaza khola Me:Assalam o Alaikum Uncle..kaisy hain Uncle:Wassalam Beta..Allah ka shukar After more haal ahwaal Me:Uncle PTCL ka bill ni jama krwaya apny Uncle:Beta lockdown ki wajah sy Me:Uncle aj krwa lijiye ga,no emotion,Neutral
17717,"news anchor said "" jabtak iss package ki details nahi aa jaati tab tak ispar charcha karna hawa mein teer chalane ke barabar hai"" and then they did charcha with a panel of guests.",no emotion,Neutral
17716,Mujhe to lag raha hai hume is baar August ko Hee Azadi Milegi. #Lockdown #Quarantine,no emotion,Neutral
17715,Mera toh lockdown khul gaya. Baki ka bhi khul jayega lagta hai.,no emotion,Neutral
17714,Me: I need new ones to wear when I go out. Mom: Kyun? Lockdown ke beech me Paris Fashion Week me ramp walk karne jaana hai kya?,no emotion,Neutral
17713,ME-: BOLO LIFE... SHE-: LIFE... ME-: TUM LOCKDOWN TK MERI WIFE.... SHE-: me-:,no emotion,Neutral
17712,Me: Ab to lockdown bhi aane wala he Tum kab aogi? She: #Lockdown4 #herapherimemes,no emotion,Neutral
17711,Mashkail Main FC Balochistan Ki janib Se Rashan Ki Taqseem ll VSH NEWS R... via,no emotion,Neutral
17710,Mai toh apne bacho ko punishment mein bartan dhone ko dunga! #lockdownhustle,no emotion,Neutral
17709,Maamla serious hai. #Lockdown4 ?,no emotion,Neutral
17708,Ma Sha Allah Ab samajh ayi ke kyun Lockdown khola gya Tax Collect krna hai,no emotion,Neutral
17707,Logo me bahot frustration hai lockdown me.,no emotion,Neutral
17706,Log kehte thee memes kis kaam ke Aur abb dekho Memes ke bharose hi hum sab lockdown kaat rahe hai. #lockdown0,no emotion,Neutral
17705,Lockdown will extend more Me : ab toh adaat se hone lagi hai,no emotion,Neutral
17704,lockdown tu extend hu jayega lekin middle class mara jayega kyunki gareevo ko mil jaayega or amiro kay pass hai .......i request you pls kuch middle class family kay liye bhi aap dhyaan dey,no emotion,Neutral
17703,lockdown start karte hi bjp ne protest khatm krsya tha or bohot logo ko arrest bhi kia tha but ab bhi hazaro log wait kar dae hain lockdown khulte hi protest start karen#ShaheenbaghZindaHai,no emotion,Neutral
17702,"Lockdown ne kya kya din dikha diyey, made my first meme.",no emotion,Neutral
17701,"Lockdown na hua Maa ke hath ki roti ho gyi, ek ke baad ek aate hi ja rahi aur hum mana bhi nahi kar pa rahe.",no emotion,Neutral
17700,"Lockdown likely to continue in Covid-19 red zones For video news and more, download the editorji app-",no emotion,Neutral
17699,Lockdown ki extended date bata do....itni der mein toh acche din aa jaate,no emotion,Neutral
17698,Lockdown khulte hi sb se pehla kam hi yahi karna hai mujhko,no emotion,Neutral
17697,lockdown ke bhi rUnG rOOp hai,no emotion,Neutral
17696,Lockdown ka scene kya hai post May ?,no emotion,Neutral
17695,lockdown k baad un larko ka kya karna hai jinse tum time pas karne k liye baat karti ho,no emotion,Neutral
17694,Lockdown hai ya koi application Itne jaldi updates aa rahe hai With some minor improvement and bugs fixed,no emotion,Neutral
17693,Lockdown hai ki Dhoom franchise,no emotion,Neutral
17692,Lockdown extend ho gaya kya?,no emotion,Neutral
17691,Lockdown Don Mein Koi salary Nahin Mili hi,no emotion,Neutral
17690,Lockdown chal raha hai. Aaj bhi sab May rehna.,no emotion,Neutral
17689,Lockdown toh agya task kha hai,no emotion,Neutral
17688,LOCKDOWN NAYE RANG ROOP WALA HOGA! Yeh Zari wali Saari hai kya!,no emotion,Neutral
17687,Lockdown ane wala hai seat belts bandh Lo sab,no emotion,Neutral
17686,Lo ji karachi mai jald lockdown wapis a rha,no emotion,Neutral
17685,Lo ho gya #lockdown4,no emotion,Neutral
17684,Lagta hai aaj final bata denge ki lockdown khulega ya dhaga.,no emotion,Neutral
17683,"Lagta hai ""The Fast and The Furious"" k sequels se zyada Lockdown k sequels aaenge #Lockdown4",no emotion,Neutral
17682,Kya ye sahi news h.. agr aisa h to govt kuch kre Bhai..,no emotion,Neutral
17681,kya sunn raha hu lockdown ?,no emotion,Neutral
17680,Kya socha tha ki kaisa hoga; aur kya nikla ? #20 #lockdown #Lockdownextention #lockdown4,no emotion,Neutral
17679,Kya scene hai #Lockdown4 ka???,no emotion,Neutral
17678,"Kya mast kaata hai sab ka, nahi bolega lockdown kitni der tak chalega...",no emotion,Neutral
17677,Kya lockdown khatam ho gya,no emotion,Neutral
17676,Kya lockdown hona chahiye?,no emotion,Neutral
17675,Kya lagta hai lockdown ?,no emotion,Neutral
17674,Kya hoga lockdown Star plus ka logo change kar k serial same atey they kuch waisa kya ?,no emotion,Neutral
17673,"Kya Hoga Baje? Curfew, Lockdown ya Kuch Aur",no emotion,Neutral
17672,Kya #lockdown hoga #COVID9,no emotion,Neutral
17671,Kuch abhi bhi missing hai! Kya hai vo cheez jo karti hai aapka #WFH complete? #Quarantine #Lockdown3 #WorkFromHome,no emotion,Neutral
17670,Kon kon lockdown mei patang uda rha hai..?? #kite,no emotion,Neutral
17669,Kiya yeh wali medicine is lockdown Mai delhi aa skti hai?,no emotion,Neutral
17668,Khuzdar Main Petrol Ki Kemat Kam Magar Kiraya Wohi ll VSH NEWS Report Fr... via,no emotion,Neutral
17667,Khul raha hai lockdown,no emotion,Neutral
17666,Khuch ziyada hi smart lockdown hai,no emotion,Neutral
17665,Kech Main Smart Lock Down Or Mehngai ll VSH NEWS Report From Kech via,no emotion,Neutral
17664,Kech main Load Shedding ll VSH NEWS Report From Kech via,no emotion,Neutral
17663,Kaun kaun relate kar rha hai? #lockdown4,no emotion,Neutral
17662,Kashmor Main Karobar Khul Gae ll VSH NEWS Report From Kashmore via,no emotion,Neutral
17661,Kashf Episode Promo HUM TV Drama th May #Kashf #HUMTV #JunaidKhan #AskAamirLiaquat #LockdownEnd #JusticeForUmeRubab,no emotion,Neutral
17660,Karachi mein smart lockdown,no emotion,Neutral
17659,Karachi ki smart phone market mein smart lockdown,no emotion,Neutral
17658,Kahin lockdown mein Uniform Civil Code ki googly aa gayi to?,no emotion,Neutral
17657,"Just tried online epass for the st time &amp; got this error again &amp; again. Koi saf saf btaega Gzb me Lockdown kb tk hai. SDM Gzb ka kehna hai ko lockdown ht jaega, where ji already extended it till st. Is this how we'll survive?",no emotion,Neutral
17656,Job na jaaye...baaki lockdown se koi prob ni hai apne ko,no emotion,Neutral
17655,Jitne koon smart hum log hain na. Aesa hee smart lockdown lagna tha,no emotion,Neutral
17654,Jafarabad Main Motorcycle Chen Li ll VSH NEWS Report From Jafarabad via,no emotion,Neutral
17653,Jafarabad Main Bazarain Khul Gai ll VSH NEWS Report From Jafarabad via,no emotion,Neutral
17652,Jab tak hai Lockdown #ReplaceMovieNameWithLockdown,no emotion,Neutral
17651,Itne part to hera pheri ke nahi hai #lockdown4,no emotion,Neutral
17650,Islamabad lockdown ke doran aor ab lockdown mein narmi ke baad,no emotion,Neutral
17649,Is Newbie ko bs ye newbies hi follow krey gye Ap ne tu krna nahi Good news for all newbies on Twitter Waiting for you followers,no emotion,Neutral
17648,irctc ki site work nhi kr rhi hai.aur IRCTC ka IRCTC ka kehna hai.kal se train chalegi.,no emotion,Neutral
17647,Introverts when they hear lockdown khattam hone vla hai ....,no emotion,Neutral
17646,"If somebody noticed , he said jo package diya gaya hai aur ""aaj ka package jod ke"" Lakh Cr banta hai! He's not giving separate Lakh Cr , which would account for % GDP (approx) #Lockdown4",no emotion,Neutral
17645,"I want to say to what says to me : ""Zindagi ke mazzey le toh aap le rahe ho lockdown mein""",no emotion,Neutral
17644,He: Tum mujh se lockdown k baad b baat kro ge na? She:,no emotion,Neutral
17643,Hamara smart lockdown plan being followed in NY to this ! Kiya pee rahai hai yai log aftaari mai !,no emotion,Neutral
17642,Gumnam hai koi: This ghost is scaring the hell out of people breaking the lockdown in an Odisha village,no emotion,Neutral
17641,Good morning kaise ho aap sab . Sayd ye aapke liye good news ho ki rbi aanouce kr sakta hai may ke bich me ... Ye chota sa proof hai puri detail link me tap kro #savethem #OperationHaftaVasooli,no emotion,Neutral
17640,Ghari Khero main Shahr Khul Gaya ll VSH NEWS Report From Ghari Khero via,no emotion,Neutral
17639,Geo News PM May Jali degree ka Kam Jaree hae Report main Deakhen,no emotion,Neutral
17638,"Fake news wala virus hai, ye ki news ab dikha raha hai",no emotion,Neutral
17637,Faisal Abad Main Bijli Ki Tarain ll VSH NEWS Report From Faisal Abad via,no emotion,Neutral
17636,Extroverts ne lockdown khulwane ke liye kya kiya hai,no emotion,Neutral
17635,During lockdown online classes chahe jitne marzi badha loo Padhna toh hume ek din phle he hai exams se... ~Backbencher,no emotion,Neutral
17634,Drama. News main in rehna koi isse seekhay,no emotion,Neutral
17633,DM se ziada toh lockdown mein roads pe rush tha.,no emotion,Neutral
17632,Dera Bugti Main Lock Down Or Load shedding ll VSH NEWS Report From Dera ... via,no emotion,Neutral
17631,"Dear Railway team , Maine kal ticket book ki hai agar main usko Cancle krta hoon toh kitna refund milega mujhko pls reply",no emotion,Neutral
17630,Daska Main Giriftari ll VSH NEWS Report From Daska via,no emotion,Neutral
17629,"Dad : Bajne wale hai, news channel laga. Me :",no emotion,Neutral
17628,CLIFFHANGER PE CHODH RAHA HAI YEH. bhai lockdown???,no emotion,Neutral
17627,"Check #China's recovery rate, higher than any #country has, % people get recovered in China. How china controlled the virus spread? #Lockdown4 Kuch to jhol hai",no emotion,Neutral
17626,"Chal kya rha h Delhi me,jo sahi h wo bola jaaye yaa phir news channel or news papers walo se puchha jaaye",no emotion,Neutral
17625,"Chahe tum kuch na kaho, maine sunn liya ki...lockdown toh bhadega hi",no emotion,Neutral
17624,Bs lockdown ky liye chahiyay hai,no emotion,Neutral
17623,Booking availaable hi nhi hai irctc par pls suggest kya kare plz booking aur site open kijiye #IRCTC #Railway #railwayministry #onlinebookingirctc,no emotion,Neutral
17622,Big Boss chahte hai ki..... Tune in at PM tonight for a new task! #Lockdown4,no emotion,Neutral
17621,BHAI NAHI JAANNE HUME PILLARS PLEASE BATA DE LOCKDOWN KA KYA SOCHA HAI,no emotion,Neutral
17620,Bachpan mein last byte bol bol ke tinde ki sabzi tika di jaati thi. Ab parts bana ke lockdown tika diya. Kat toh kab se raha hai humara.,no emotion,Neutral
17619,Baat sunain aap nay Balochistan kay kaon kaon si jaga daikhi hui hay?,no emotion,Neutral
17618,avi tak kuch nhi hua..agay kya higa!! #Lockdown3 #PMatpm,no emotion,Neutral
17617,Ashrafia jani kia scenez hain phr lockdown k.....,no emotion,Neutral
17616,Apni bht fikar Hai or logon ka Liya lockdown khol rahay ho.,no emotion,Neutral
17615,Anytime JKT over these Gills and Shahzad Akbars. Khan Sb bhi kin pe rely kar rahy hain. Kal hakomat nahin honi tu inhon ne ur jana hai.,no emotion,Neutral
17614,Am not getting the thing k jab brands p online shopping ki sahulat di gai hai to wha jaky logo ko pata nhi kia koi khas chez mil ri. Mjy to yay dar hai k kahi in logo ki nadanio ki waja say apna pata na kat jay ..dont wanna die Khd to dubo gy sanam hmy b lay dubo gy #LockdownEnd,no emotion,Neutral
17613,Alag Kisam Ka Nasha hai #lockdown,no emotion,Neutral
17612,Aksar Tanhai mein main Khud se Baatein kar Liya karta hu. Daydreaming is very common these days. Sometimes i challange myself with puzzles if my mind is working just fine. So is the impact of lockdown upon me. How are you dealing with this time. #lockdownuponyou,no emotion,Neutral
17611,Akhri working day pe akhri acha kam mero #JusticeForSMLawCollegeStudents,no emotion,Neutral
17610,Aik sugar comm ki report me JKT ka nam ajae to wo apny bndy govt se nikal ly to kal govt khatam ho jati hai khan ki. But phr dbara vote dy k lao gy ya nai?? Hamara kam vote dy k khatam ni hua vote dy k to strt hua. In sb ko pta ho k govt gae to ye log dbara ziada vote se ke aingy,no emotion,Neutral
17609,Agar ghar pe hee ilaj karna hai to vo kaise karna hai vo bhee video yaa news main aa ke bata dete,no emotion,Neutral
17608,Abhi hai Time #,no emotion,Neutral
17607,Aapda awsar me badalna hai. Lockdown khula matlab,no emotion,Neutral
17606,"Aap sbko bhi eid mubarak ho : ) ab jaldi se metro start kariye to aap sbse milna possible ho aur normal train start kariye kanpur ke liye to ghar se milna ho ske , . , mnth ho gye . . : )",no emotion,Neutral
17605,"Aap ki ayaashi nahi, un ki majboori wajah hai. #LockdownEnd",no emotion,Neutral
17604,Aalsi sarkaare lockdown ke bharoshe so rahi hai.,no emotion,Neutral
17603,Aaj Tak walo ko aur koi news ab nhi mil rha kya,no emotion,Neutral
17602,Aaj se hadiya piyunga aur local language mein gali dunga (Sorry Global)~Local to Vocal #Lockdown4 #LocalVocal #LocalToVocal,no emotion,Neutral
17601,Aaj pata chal gaya India ki GDP kitni hai #Lockdown4,no emotion,Neutral
17600,Aaj News Channels Ka Haal Kuch Badla Badla Sa Hai.,no emotion,Neutral
17599,aage bhadega punjab mein lockdown ! dekhe captain amarinder singh ki PM ... via,no emotion,Neutral
17598,A birthday of a random News anchor is twitter moment for India. Kya din aa gye hian Those who deserve won't get it,no emotion,Neutral
17597,and class students on hearing about their exams news: Mei doob raha hu lekin abi dooba tou nhi Meanwhile uni students; Dil mei mere Hy dard e disco...,no emotion,Neutral
17596,:23 bje tak booking start hi nhi hui hai kya dikkat hai ab jab train chlana hai to booking bhi start kariye,no emotion,Neutral
17595,lakh crore mein se har kisi ko -2 lakh bhi cash mil jaye toh agle mahine aaraam se nikal sakte hain...mera hisaab theek haina? #Lockdown #StayHomeStaySafe,no emotion,Neutral
17594,min silence for all those who were waiting for lockdown Also Local ko Vocal bana na hai,no emotion,Neutral
17593,Na News kiyoki ye bhi barbaad karti hai insaan ko bus apna kaam karna hai ..jo waqkt pe milega,no emotion,Neutral
17592,Bro Hamari aik First year ki math hai aik second year ki hamara kya bane ga..??,no emotion,Neutral
17591,ye to wohi dalain gy jo pakistan k khilaf hain .or balochistan ma aman nahi chahty .,no emotion,Neutral
17590,Virus is here for years. No doubt about that. Lockdowns ending was inevitable. The need of the hour is genuine public awareness with strict regulation of SOPs. Qoum jahil hona sab say bara masla hai is waqt.,no emotion,Neutral
17589,Sir aj covid ke sample ko gye huye days hone ja rhe hai but av tk koi result ni aaya. Without report wo mujhe treatment de rhe hai jb ki mujhe koi issue v ni hai.. Sir i need your help,no emotion,Neutral
17588,Morning am se death body aise hi bed pr hai but not any one for cleaning.. Sirf due to bad facility ki wjh se ek aadmi ki jaan chli gyi. Koi v ek baar night me haal puchne ke liye ni aata ki paitient kaisa hai..,no emotion,Neutral
17587,I think kuch important substance nahi bacha hai?,no emotion,Neutral
17586,Baki sabhi news khatm ho gai hai kya.,no emotion,Neutral
17585,Ye razzak time kill kr raha hai ye expose ho raha hai,no emotion,Neutral
17584,Surat mein gala kata jayega toh yeh gala kaatenge kya? Jwab dena nahi hai or dusre state ko dikha kar apni galti chipa rahe hain.,no emotion,Neutral
17583,Is se accha Urdu mein likh deta English ganwar.,no emotion,Neutral
17582,Punjabi bhangra hai Bollywood dance nahe hai kuch pata bhi hai tumhain dance k bary main,no emotion,Neutral
17581,Main to lockdown khatam hote hi port karwaunga,no emotion,Neutral
17580,Kya problem hai,no emotion,Neutral
17579,mein Pakistan news bhi try kiya tha.,no emotion,Neutral
17578,"Kya ise ham , Green Signal Samjhe , Lockdown end hone ka ko?",no emotion,Neutral
17577,I am asking for evidence! Kehney sey kuch hota to Bilawal abhi PM hota!,no emotion,Neutral
17576,Tum dono aik jaisy ho bhaly Dawn news ho ya nam nehad Journalist,no emotion,Neutral
17575,ye bilawal hi samjho ap,no emotion,Neutral
17574,Punjab or sindh wali ka inpe kuch ziyada he Eman hota hy... Shirk jante he nahi kiya hy...,no emotion,Neutral
17573,Na News kiyoki ye bhi barbaad karti hai insaan ko bus apna kaam karna hai ..jo waqkt pe milega,no emotion,Neutral
17572,Bro warhead news karke ek site bana lo,no emotion,Neutral
17571,Sir ye lockdown k hai from lahore,no emotion,Neutral
17570,Asalam o mujhy suhail sahab sai pochna h k .Mera ghr raint ka h or business krti hon Jo k lockdown ki waja sai band h .to Kia fitra Dena paray ga ?,no emotion,Neutral
17569,"Ab facts ka kya hai, Wasay mian? Bas udhar hi side per rehte thay woh Turkey k qareeb Shaam, Egypt, Palestine waghera mein, so he is a Turk hero of Turkey-ul-nasl Punjabi twitterati lol",no emotion,Neutral
17568,Kya bol rahe hai bhaijaan aap?? Na toh punjabi na hi mujhe urdu samaj mai aati hai.,no emotion,Neutral
17567,"Sindh, Baluchistan, Waziristan ka temperature of mosam bhi bholenge..",no emotion,Neutral
17566,toh yeh kyaa haii poori story aik lmby sy paragraph main suna do gy toh kya e baat ho gi,no emotion,Neutral
17565,"Sach me ? Badi gazab ki news hai, Koi pic, clip ho to post karo na !",no emotion,Neutral
17564,"Aur suna Balochistan aur Waziristan ka kya haal hai, suna hai army wale bomb se uda diye #uba waloon ne",no emotion,Neutral
17563,Omg isne news bna di ek pagal fan k bolne pe. Kya journalist h!!,no emotion,Neutral
17562,"o sir ji, Laptop ka no brand kab banoge? ab Laptops launch bhi kardo. lockdown bahut important hogaya hai.",no emotion,Neutral
17561,"o sir ji, Laptop ka no brand kab banoge? ab Laptops launch bhi kardo. lockdown bahut important hogaya hai.",no emotion,Neutral
17560,bhai tere liye poop hi sahi h..poop hi h tu,no emotion,Neutral
17559,Usme different state government ki Permission lagti hai..per route and there is central lockdown state lockdown.,no emotion,Neutral
17558,Aur central government ka kya role hai..jo lockdown announce kiya?,no emotion,Neutral
17557,Bhai lockdown me kya umeed rkh rha hai,no emotion,Neutral
17556,Aisi bajao ki zindagi bhar bajta rhe ..,no emotion,Neutral
17555,dil mai bhi lockdown hai,no emotion,Neutral
17554,Lockdown mein paet ke bahar nikalne par bhi pabandi honi chahiye!,no emotion,Neutral
17553,Nae Eid k rd ya th day Nikah hai... Aik ya do chutti krlu shyd. Wena socha tha lockdown k baad kuch weeks tk koe chutti nae krni (My boss is really nice. Alhamdulillah. Ab ehsaas hua hai...),no emotion,Neutral
17552,Make a video for her in support her story is available at HUM NEWS Show at Youtube #JusticeForUmeRubab,no emotion,Neutral
17551,I know lockdown hone wala hai,no emotion,Neutral
17550,Aapki sarkaar college fee pe bhi baat kyo nhi krti is lockdown me kaise fee paid kr de abhi kisi ki bhi situation thik nhi hai,no emotion,Neutral
17549,Mam Pls make a channel on Telegram as well. Need competition there. Ye wire shire faltu news sab hai waha.,no emotion,Neutral
17548,Bhai jab tumne tweet Kiya :03 Am ..us time Delhi to Bhubneswar mein booking ho rhi thi ya bje hoga ye notification aa rha tha?,no emotion,Neutral
17547,online magwa len....wese to lockdown taqreeban khtm hi ho gaya hai.,no emotion,Neutral
17546,Lockdown hai bhaai Aur kre bhi to kya.,no emotion,Neutral
17545,"qo confuse nai sirf media aur hukumat confuse hai awam ney tu apni hi marzi karni hai lockdown hai ya nahi hai,",no emotion,Neutral
17544,Bhaiya paisa kab loata rahe ho ab too lockdown ki bhi announcement ho gyi hai,no emotion,Neutral
17543,Ye shehbaaz hai jo khabari banke yahan news de rha hai,no emotion,Neutral
17542,yaha cases daily badte jaa rahe hai ye ab puch rahe bai lockdown badaye ya nahi.,no emotion,Neutral
17541,Asslam o alaikum Sir Ager private channel paisa bna rhy hein bqool ap k to humara National chanel b thorry buhat bna le to is me kia harj he pakistan ka bhala tab hi ho ga jab is k adaary theek ho gay,no emotion,Neutral
17540,Ye kya follow unfollow ka khel khelte ho aap. Unfollow karna ho to follow he na kare.,no emotion,Neutral
17539,Haha tuba tuba dalta lockdown ke hm da chal wo,no emotion,Neutral
17538,Lockdown mai to wwe ka kuch nhi choda Sb kuch dekha hai. Bda shi timepass,no emotion,Neutral
17537,Hum lockdown ke hain kaun.,no emotion,Neutral
17536,Bijli paani free news hai inke liye.,no emotion,Neutral
17535,"Bhai, kis news paper ka link hai ye, please share date and news paper link ?",no emotion,Neutral
17534,Yr ap bhi kya insan ho. Agr news ka hawala dena hi hai to Kisi dosry TV channel ka de dety. ARY ko to PPP waly dushman smjhty hain,no emotion,Neutral
17533,Aajtak Ek v news Sahi nhi hue hai eska,no emotion,Neutral
17532,Ye classified news tumlogo ko deta kaun hai? Bhaiyo aisa kuch nahi hai.. all the trains will be halted on at least -4 stations depending on the route.,no emotion,Neutral
17531,Mam Sach hai ye fack news hai,no emotion,Neutral
17530,"Sir, iske aage kyaa ya sirf news kaafi hai",no emotion,Neutral
17529,Address means mafi mangne wale hai aur lockdown extension,no emotion,Neutral
17528,"sir, kya kal se suru hone bali passenger train beech mein stoppage lenge mera matlab kya koi passenger dusre station pe utar sakenge",no emotion,Neutral
